"EUPH code",Name,English,Definition,Parent
1389,Laying,Laying,"FAOSTAT Element <q>Laying (FAOSTAT)</q> listed on page Definitions and standards",1086
1390,"Milk Animals","Milk Animals","FAOSTAT Element <q>Milk Animals (FAOSTAT)</q> listed on page Definitions and standards",1086
1391,"Prod Popultn","Prod Popultn","FAOSTAT Element <q>Prod Popultn (FAOSTAT)</q> listed on page Definitions and standards",1086
1392,"Producing Animals/Slaughtered","Producing Animals/Slaughtered","FAOSTAT Element <q>Producing Animals/Slaughtered (FAOSTAT)</q> listed on page Definitions and standards",1086
1393,Yield,Yield,"FAOSTAT Element <q>Yield (FAOSTAT)</q> listed on page Definitions and standards",1086
1394,"Yield/Carcass Weight","Yield/Carcass Weight","FAOSTAT Element <q>Yield/Carcass Weight (FAOSTAT)</q> listed on page Definitions and standards",1086
1395,"Gross per capita Production Index Number (2014-2016 = 100)","Gross per capita Production Index Number (2014-2016 = 100)","FAOSTAT Element <q>Gross per capita Production Index Number (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1396,"Gross Production Index Number (2014-2016 = 100)","Gross Production Index Number (2014-2016 = 100)","FAOSTAT Element <q>Gross Production Index Number (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1397,"Gross Production Value (constant 2014-2016 thousand I$)","Gross Production Value (constant 2014-2016 thousand I$)","FAOSTAT Element <q>Gross Production Value (constant 2014-2016 thousand I$) (FAOSTAT)</q> listed on page Definitions and standards",1086
1398,"Gross Production Value (constant 2014-2016 thousand SLC)","Gross Production Value (constant 2014-2016 thousand SLC)","FAOSTAT Element <q>Gross Production Value (constant 2014-2016 thousand SLC) (FAOSTAT)</q> listed on page Definitions and standards",1086
1399,"Gross Production Value (constant 2014-2016 thousand US$)","Gross Production Value (constant 2014-2016 thousand US$)","FAOSTAT Element <q>Gross Production Value (constant 2014-2016 thousand US$) (FAOSTAT)</q> listed on page Definitions and standards",1086
1400,"Gross Production Value (current thousand SLC)","Gross Production Value (current thousand SLC)","FAOSTAT Element <q>Gross Production Value (current thousand SLC) (FAOSTAT)</q> listed on page Definitions and standards",1086
1401,"Gross Production Value (current thousand US$)","Gross Production Value (current thousand US$)","FAOSTAT Element <q>Gross Production Value (current thousand US$) (FAOSTAT)</q> listed on page Definitions and standards",1086
1402,"Export Quantity Index (2014-2016 = 100)","Export Quantity Index (2014-2016 = 100)","FAOSTAT Element <q>Export Quantity Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1403,"Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","FAOSTAT Element <q>Export Unit/Value Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1404,"Export Value Base Price","Export Value Base Price","FAOSTAT Element <q>Export Value Base Price (FAOSTAT)</q> listed on page Definitions and standards",1086
1405,"Export Value Base Quantity","Export Value Base Quantity","FAOSTAT Element <q>Export Value Base Quantity (FAOSTAT)</q> listed on page Definitions and standards",1086
1406,"Export Value Index (2014-2016 = 100)","Export Value Index (2014-2016 = 100)","FAOSTAT Element <q>Export Value Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1407,"Import Quantity Index (2014-2016 = 100)","Import Quantity Index (2014-2016 = 100)","FAOSTAT Element <q>Import Quantity Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1408,"Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","FAOSTAT Element <q>Import Unit/Value Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1409,"Import Value Base Period Price","Import Value Base Period Price","FAOSTAT Element <q>Import Value Base Period Price (FAOSTAT)</q> listed on page Definitions and standards",1086
1410,"Import Value Base Period Quantity","Import Value Base Period Quantity","FAOSTAT Element <q>Import Value Base Period Quantity (FAOSTAT)</q> listed on page Definitions and standards",1086
1411,"Import Value Index (2014-2016 = 100)","Import Value Index (2014-2016 = 100)","FAOSTAT Element <q>Import Value Index (2014-2016 = 100) (FAOSTAT)</q> listed on page Definitions and standards",1086
1412,"12.3.1a Food loss percentage","Food loss percentage","FAOSTAT Item ""12.3.1a Food loss percentage"", Item Code 24044, listed on page Definitions and standards",1088
1413,"14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%)","14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%)","FAOSTAT Item <q>14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1414,"14.6.1 Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest)","14.6.1 Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest)","FAOSTAT Item <q>14.6.1 Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1415,"14.7.1 Sustainable fisheries as a proportion of GDP","14.7.1 Sustainable fisheries as a proportion of GDP","FAOSTAT Item <q>14.7.1 Sustainable fisheries as a proportion of GDP (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1416,"14.b.1 Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest)","14.b.1 Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest)","FAOSTAT Item <q>14.b.1 Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1417,"15.1.1 Forest area (thousands of hectares)","15.1.1 Forest area (thousands of hectares)","FAOSTAT Item <q>15.1.1 Forest area (thousands of hectares) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1418,"15.1.1 Forest area as a proportion of total land area (%)","15.1.1 Forest area as a proportion of total land area (%)","FAOSTAT Item <q>15.1.1 Forest area as a proportion of total land area (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1419,"15.1.1 Land area (thousands of hectares)","15.1.1 Land area (thousands of hectares)","FAOSTAT Item <q>15.1.1 Land area (thousands of hectares) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1420,"15.2.1 Above-ground biomass stock in forest (tonnes per hectare)","15.2.1 Above-ground biomass stock in forest (tonnes per hectare)","FAOSTAT Item <q>15.2.1 Above-ground biomass stock in forest (tonnes per hectare) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1421,"15.2.1 Forest area annual net change rate (%)","15.2.1 Forest area annual net change rate (%)","FAOSTAT Item <q>15.2.1 Forest area annual net change rate (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1422,"15.2.1 Forest area under an independently verified forest management certification scheme (thousands of hectares)","15.2.1 Forest area under an independently verified forest management certification scheme (thousands of hectares)","FAOSTAT Item <q>15.2.1 Forest area under an independently verified forest management certification scheme (thousands of hectares) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1423,"15.2.1 Proportion of forest area under a long-term management plan (%)","15.2.1 Proportion of forest area under a long-term management plan (%)","FAOSTAT Item <q>15.2.1 Proportion of forest area under a long-term management plan (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1424,"15.2.1 Proportion of forest area within legally established protected areas (%)","15.2.1 Proportion of forest area within legally established protected areas (%)","FAOSTAT Item <q>15.2.1 Proportion of forest area within legally established protected areas (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1425,"15.4.2 Mountain Green Cover Index: Elevation 1","15.4.2 Mountain Green Cover Index: Elevation 1","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 1 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1426,"15.4.2 Mountain Green Cover Index: Elevation 2","15.4.2 Mountain Green Cover Index: Elevation 2","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 2 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1427,"15.4.2 Mountain Green Cover Index: Elevation 3","15.4.2 Mountain Green Cover Index: Elevation 3","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 3 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1428,"15.4.2 Mountain Green Cover Index: Elevation 4","15.4.2 Mountain Green Cover Index: Elevation 4","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 4 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1429,"15.4.2 Mountain Green Cover Index: Elevation 5","15.4.2 Mountain Green Cover Index: Elevation 5","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 5 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1430,"15.4.2 Mountain Green Cover Index: Elevation 6","15.4.2 Mountain Green Cover Index: Elevation 6","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation 6 (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1431,"15.4.2 Mountain Green Cover Index: Elevation All","15.4.2 Mountain Green Cover Index: Elevation All","FAOSTAT Item <q>15.4.2 Mountain Green Cover Index: Elevation All (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1432,"2,4,5-T and its salts and esters","2,4,5-T and its salts and esters","FAOSTAT Item <q>2,4,5-T and its salts and esters (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1433,"2.1.1 Number of undernourished people (millions)","2.1.1 Number of undernourished people (millions)","FAOSTAT Item <q>2.1.1 Number of undernourished people (millions) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1434,"2.1.1 Prevalence of undernourishment (%)","2.1.1 Prevalence of undernourishment (%)","FAOSTAT Item <q>2.1.1 Prevalence of undernourishment (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1435,"2.1.2 Population in moderate or severe food insecurity (thousands of people)","2.1.2 Population in moderate or severe food insecurity (thousands of people)","FAOSTAT Item <q>2.1.2 Population in moderate or severe food insecurity (thousands of people) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1436,"2.1.2 Population in moderate or severe food insecurity (thousands of people) (female)","2.1.2 Population in moderate or severe food insecurity (thousands of people) (female)","FAOSTAT Item <q>2.1.2 Population in moderate or severe food insecurity (thousands of people) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1437,"2.1.2 Population in moderate or severe food insecurity (thousands of people) (male)","2.1.2 Population in moderate or severe food insecurity (thousands of people) (male)","FAOSTAT Item <q>2.1.2 Population in moderate or severe food insecurity (thousands of people) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1438,"2.1.2 Population in severe food insecurity (thousands of people)","2.1.2 Population in severe food insecurity (thousands of people)","FAOSTAT Item <q>2.1.2 Population in severe food insecurity (thousands of people) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1439,"2.1.2 Population in severe food insecurity (thousands of people) (female)","2.1.2 Population in severe food insecurity (thousands of people) (female)","FAOSTAT Item <q>2.1.2 Population in severe food insecurity (thousands of people) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1440,"2.1.2 Population in severe food insecurity (thousands of people) (male)","2.1.2 Population in severe food insecurity (thousands of people) (male)","FAOSTAT Item <q>2.1.2 Population in severe food insecurity (thousands of people) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1441,"2.1.2 Prevalence of moderate or severe food insecurity (%)","2.1.2 Prevalence of moderate or severe food insecurity (%)","FAOSTAT Item <q>2.1.2 Prevalence of moderate or severe food insecurity (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1442,"2.1.2 Prevalence of moderate or severe food insecurity (%) (female)","2.1.2 Prevalence of moderate or severe food insecurity (%) (female)","FAOSTAT Item <q>2.1.2 Prevalence of moderate or severe food insecurity (%) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1443,"2.1.2 Prevalence of moderate or severe food insecurity (%) (male)","2.1.2 Prevalence of moderate or severe food insecurity (%) (male)","FAOSTAT Item <q>2.1.2 Prevalence of moderate or severe food insecurity (%) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1444,"2.1.2 Prevalence of severe food insecurity (%)","2.1.2 Prevalence of severe food insecurity (%)","FAOSTAT Item <q>2.1.2 Prevalence of severe food insecurity (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1445,"2.1.2 Prevalence of severe food insecurity (%) (female)","2.1.2 Prevalence of severe food insecurity (%) (female)","FAOSTAT Item <q>2.1.2 Prevalence of severe food insecurity (%) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1446,"2.1.2 Prevalence of severe food insecurity (%) (male)","2.1.2 Prevalence of severe food insecurity (%) (male)","FAOSTAT Item <q>2.1.2 Prevalence of severe food insecurity (%) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1447,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)","2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)","FAOSTAT Item <q>2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1448,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)","2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)","FAOSTAT Item <q>2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1449,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)","2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)","FAOSTAT Item <q>2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1450,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)","2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)","FAOSTAT Item <q>2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1451,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)","2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)","FAOSTAT Item <q>2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1452,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)","2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)","FAOSTAT Item <q>2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1453,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)","2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)","FAOSTAT Item <q>2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1454,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)","2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)","FAOSTAT Item <q>2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1455,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)","2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)","FAOSTAT Item <q>2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1456,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)","2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)","FAOSTAT Item <q>2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1457,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)","2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)","FAOSTAT Item <q>2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1458,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)","2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)","FAOSTAT Item <q>2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1459,"2.5.1.a Plant genetic resources accessions stored ex situ (number)","2.5.1.a Plant genetic resources accessions stored ex situ (number)","FAOSTAT Item <q>2.5.1.a Plant genetic resources accessions stored ex situ (number) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1460,"2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution","2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution","FAOSTAT Item <q>2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1461,"2.5.2 Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)","2.5.2 Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)","FAOSTAT Item <q>2.5.2 Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1462,"2.a.1 Agriculture orientation index for government expenditures","2.a.1 Agriculture orientation index for government expenditures","FAOSTAT Item <q>2.a.1 Agriculture orientation index for government expenditures (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1463,"2.a.1 Agriculture share of Government Expenditure (%)","2.a.1 Agriculture share of Government Expenditure (%)","FAOSTAT Item <q>2.a.1 Agriculture share of Government Expenditure (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1464,"2.a.1 Agriculture value added share of GDP (%)","2.a.1 Agriculture value added share of GDP (%)","FAOSTAT Item <q>2.a.1 Agriculture value added share of GDP (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1465,"2.c.1 Indicator of Food Price Anomalies (IFPA), applied to the Consumer Food Price Index","2.c.1 Indicator of Food Price Anomalies (IFPA), applied to the Consumer Food Price Index","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), applied to the Consumer Food Price Index (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1466,"2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Maize","2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Maize","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Maize (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1467,"2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Millet","2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Millet","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Millet (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1468,"2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Rice","2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Rice","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Rice (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1469,"2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Sorghum","2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Sorghum","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Sorghum (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1470,"2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Wheat","2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Wheat","FAOSTAT Item <q>2.c.1 Indicator of Food Price Anomalies (IFPA), by type of product: Wheat (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1471,"2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: High food prices (%)","2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: High food prices (%)","FAOSTAT Item <q>2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: High food prices (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1472,"2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Moderately high food prices (%)","2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Moderately high food prices (%)","FAOSTAT Item <q>2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Moderately high food prices (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1473,"2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Total (%)","2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Total (%)","FAOSTAT Item <q>2.c.1 Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies: Total (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1474,"5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex","5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex","FAOSTAT Item <q>5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1475,"5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (female)","5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (female)","FAOSTAT Item <q>5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1476,"5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (male)","5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (male)","FAOSTAT Item <q>5.a.1(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1477,"5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure","5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure","FAOSTAT Item <q>5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1478,"5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (female)","5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (female)","FAOSTAT Item <q>5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (female) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1479,"5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (male)","5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (male)","FAOSTAT Item <q>5.a.1(b) Share of women among owners or rights-bearers of agricultural land, by type of tenure (male) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1480,"5.a.2 Degree to which the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees)","5.a.2 Degree to which the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees)","FAOSTAT Item <q>5.a.2 Degree to which the legal framework (including customary law) guarantees women?s equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1481,"6.4.1 Industrial Water Use Efficiency [US$/m3]","6.4.1 Industrial Water Use Efficiency [US$/m3]","FAOSTAT Item <q>6.4.1 Industrial Water Use Efficiency [US$/m3] (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1482,"6.4.1 Irrigated Agriculture Water Use Efficiency [US$/m3]","6.4.1 Irrigated Agriculture Water Use Efficiency [US$/m3]","FAOSTAT Item <q>6.4.1 Irrigated Agriculture Water Use Efficiency [US$/m3] (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1483,"6.4.1 Services Water Use Efficiency [US$/m3]","6.4.1 Services Water Use Efficiency [US$/m3]","FAOSTAT Item <q>6.4.1 Services Water Use Efficiency [US$/m3] (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1484,"6.4.1 Total Water Use Efficiency [US$/m3]","6.4.1 Total Water Use Efficiency [US$/m3]","FAOSTAT Item <q>6.4.1 Total Water Use Efficiency [US$/m3] (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1485,"6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%)","6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%)","FAOSTAT Item <q>6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1486,Abaca,Abaca,"FAOSTAT Item <q>Abaca (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1487,AFOLU,AFOLU,"FAOSTAT Item <q>AFOLU (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1488,"Agave fibres nes","Agave fibres nes","FAOSTAT Item <q>Agave fibres nes (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1489,"Agr Machinery nes","Agr Machinery nes","FAOSTAT Item <q>Agr Machinery nes (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1490,"Agri-food systems","Agri-food systems","FAOSTAT Item <q>Agri-food systems (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1491,"Agricultural land","Agricultural land","FAOSTAT Item <q>Agricultural land (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1492,"Agricultural machinery nes (trade)","Agricultural machinery nes (trade)","FAOSTAT Item <q>Agricultural machinery nes (trade) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1493,"Agricultural Machines","Agricultural Machines","FAOSTAT Item <q>Agricultural Machines (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1494,"Agricultural Products","Agricultural Products","FAOSTAT Item <q>Agricultural Products (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1495,"Agricultural Requisites","Agricultural Requisites","FAOSTAT Item <q>Agricultural Requisites (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1496,"Agricultural researchers","Agricultural researchers","FAOSTAT Item <q>Agricultural researchers (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1497,"Agricultural Soils","Agricultural Soils","FAOSTAT Item <q>Agricultural Soils (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1498,"Agricultural tractors","Agricultural tractors","FAOSTAT Item <q>Agricultural tractors (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1499,"Agricultural tractors, total","Agricultural tractors, total","FAOSTAT Item <q>Agricultural tractors, total (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1500,Agriculture,agriculture,"FAOSTAT Item <q>Agriculture (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1501,"Agriculture (Central Government)","Agriculture (Central Government)","FAOSTAT Item <q>Agriculture (Central Government) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
1502,"Agriculture (General Government)","Agriculture (General Government)","FAOSTAT Item <q>Agriculture (General Government) (FAOSTAT Item)</q> listed on page Definitions and standards",1088
